# РАЗБОР ПРОВЕРОК, УМИРАЮЩИХ ВМЕСТЕ С JavaScript — по утверждениям, а не по файлам.
# Дерево: коммит 4780c595, ветка vypusk/zamestit-proverki. 886 блоков test(...) в 37 файлах.
# Категории: A1 — держит пример внутри .flang (переживёт выброс); A2 — держит только сверка
# self-*.test.mjs (умрёт вместе с JavaScript, но предмет — эталон на flang, перенос дешёвый);
# B — переносимо на flang test примером; C — выразимо только снаружи языка (прогонщик, C, фаззинг);
# D — не замещается ничем.
файл	название теста	категория	улика или довод
proof-kernel-reference.test.mjs	каждая функция ядра объявлена тотальной и доказана анализом	B	flang/proof/kernel.flang не входит в корпус self-totality.test.mjs:346 (там stdlib, core, leetcode, self); «Проверить тотальность» есть у эталона — образец переноса flang/self/otkazy-totalnosti.flang
proof-kernel-reference.test.mjs	рекурсия ядра несётся СТРУКТУРОЙ: сторожей в рантайме ноль	B	то же: guards/descents/structures/cycles приезжают значением, но kernel.flang в корпусе сверки нет
proof-kernel-reference.test.mjs	все примеры ядра сходятся: эталон считает то, что обещает	A1	flang/proof/kernel.flang — 31 `пример «…»` (строки 85–376); их гоняет `flang check`/`flang test`
proof-kernel-reference.test.mjs	ядро печатается в JavaScript — значит живёт не только в интерпретаторе	B	печать отдаёт файлы значением (flang/self/emit-js.flang); kernel.flang в корпусе self-emit-js не проверяется отдельно
proof-kernel-reference.test.mjs	слабейшее побеждает: проверено на всех девяти парах вердиктов	A1	flang/proof/kernel.flang:85–101 — пять примеров у «Слабее»; до полной таблицы девяти пар не хватает четырёх примеров, дописываются в тот же файл
proof-kernel-reference.test.mjs	вердикты эталона и свидетеля совпали на всех порождённых термах	B	свидетель — функция `свидетельскийВердикт`, написанная в самом тесте на JavaScript, а не модуль flang/src; второе прочтение переписывается на flang, перебор 3000+ термов выражается функцией с одним `пример «расхождений ноль»`
proof-kernel-reference.test.mjs	вердикты принципа индукции совпали у эталона, свидетеля и свёртки принципа	B	то же; третье прочтение `свернутьПринцип` берётся из flang/src/proofterm.mjs, у эталона flang/self/proofterm.flang есть своё
proof-kernel-reference.test.mjs	сверка принципа умеет краснеть: подменённое покрытие ловится	B	ломается СВИДЕТЕЛЬСКОЕ правило, написанное в тесте; переносимо вместе со свидетелем
proof-kernel-reference.test.mjs	сверка умеет краснеть: подменённое правило свода ловится	B	то же
plans-corpus.test.mjs	корпус: программ в нём столько, сколько заявлено, и целых среди них две	C	readdirSync по flang/test/fixtures/plany (corpus-plans.mjs:49) — опись каталога, снаружи языка
plans-corpus.test.mjs	корпус: у каждого сломанного случая ровно одна диагностика FLANG_PLAN	B	счёт диагностик значением; «Проверить планы» есть у эталона — flang/test/self-io.test.mjs:94
plans-corpus.test.mjs	корпус: кроме FLANG_PLAN не поднимается ничего, кроме названного поимённо	B	то же — список кодов значением
plans-corpus.test.mjs	корпус: все двенадцать веток ctx.report свидетеля достигнуты	C	охват веток свидетеля flang/src/io.mjs (список ВЕТКИ_СВИДЕТЕЛЯ в corpus-plans.mjs)
plans-corpus.test.mjs	корпус: все четыре применения сверитьИмяТипа достигнуты порознь	C	охват применений внутри свидетеля (ПРИМЕНЕНИЯ_СВЕРКИ)
plans-corpus.test.mjs	корпус: обе ветви типОдним достигнуты — у типа без имени в сообщение уезжает слово	C	охват ветвей свидетеля (СЛОВА_БЕЗ_ИМЕНИ)
plans-corpus.test.mjs	корпус: сообщения сломанных случаев попарно различны	B	попарное сличение строк — обычная функция flang над списком исходников
plans-corpus.test.mjs	корпус: улика числом — веток достигнуто столько, сколько их в свидетеле	C	охват веток свидетеля числом
cat-functor.test.mjs	функтор, сохраняющий устройство, проходит проверку	B	переносимо ФОРМОЙ (диагностика значением), но предмета на стороне flang НЕТ: законов функтора в flang/self/types.flang не реализовано ни одного (FLANG_FUNCTOR_* живёт только в flang/src/types.mjs:2849–2983)
cat-functor.test.mjs	образ стрелки обязан вести из образа домена в образ кодомена	B	FLANG_FUNCTOR_ARROW_MISMATCH — только flang/src/types.mjs:2897; на стороне flang проверки нет
cat-functor.test.mjs	объект без образа ловится там, где его не с чем согласовать	B	FLANG_FUNCTOR_OBJECT_MISSING — только flang/src/types.mjs:2887
cat-functor.test.mjs	отображение объектов однозначно: второй образ — ошибка, а не победа последнего	B	FLANG_FUNCTOR_OBJECT_TWICE — только flang/src/types.mjs:2849
cat-functor.test.mjs	образ композиции обязан быть композицией образов в том же порядке	B	FLANG_FUNCTOR_COMPOSITION — только flang/src/types.mjs:2914
cat-functor.test.mjs	образ композиции, объявленный простой стрелкой, композицией не считается	B	FLANG_FUNCTOR_COMPOSITION — только flang/src/types.mjs:2933
cat-functor.test.mjs	образ единицы обязан быть единицей образа	B	FLANG_FUNCTOR_IDENTITY — только flang/src/types.mjs:2948
cat-functor.test.mjs	единица, которую функтор не отображает, законом не считается нарушенной	B	граница закона (молчание); предмета на стороне flang нет
cat-functor.test.mjs	несуществующий морфизм в отображении назван по имени	B	FLANG_UNKNOWN_NAME из блока функтора — только flang/src/types.mjs
cat-functor.test.mjs	имена НЕОБЪЯВЛЕННЫХ категорий остаются пометкой: выдуманная проверку не роняет	B	граница честности (молчание); предмета на стороне flang нет
cat-bifunctor.test.mjs	бифунктор, сохраняющий устройство по обоим входам, проходит проверку	B	FLANG_BIFUNCTOR_* живёт только в flang/src/types.mjs:3169–3288; в flang/self/types.flang нет ни одного; программ с `бифунктор` в дереве нет вовсе
cat-bifunctor.test.mjs	образ пары стрелок обязан вести из образа пары доменов в образ пары кодоменов	B	FLANG_BIFUNCTOR_ARROW_MISMATCH — только flang/src/types.mjs:3223
cat-bifunctor.test.mjs	пара объектов без образа ловится там, где её не с чем согласовать	B	FLANG_BIFUNCTOR_OBJECT_MISSING — только flang/src/types.mjs:3212
cat-bifunctor.test.mjs	отображение пар однозначно: второй образ одной пары — ошибка	B	FLANG_BIFUNCTOR_OBJECT_TWICE — только flang/src/types.mjs:3169
cat-bifunctor.test.mjs	порядок пары значим: «А» и «Б» — не то же самое, что «Б» и «А»	B	ключ отображения — упорядоченная пара; проверка только в flang/src/types.mjs
cat-bifunctor.test.mjs	образ пары композиций обязан быть композицией образов в том же порядке	B	FLANG_BIFUNCTOR_COMPOSITION — только flang/src/types.mjs:3246
cat-bifunctor.test.mjs	образ пары композиций, объявленный простой стрелкой, композицией не считается	B	FLANG_BIFUNCTOR_COMPOSITION — только flang/src/types.mjs:3266
cat-bifunctor.test.mjs	пара, из которой собрана композиция, обязана быть отображена — иначе закон проверять не на чем	B	FLANG_BIFUNCTOR_COMPOSITION — только flang/src/types.mjs:3257
cat-bifunctor.test.mjs	образ пары единиц обязан быть единицей образа пары	B	FLANG_BIFUNCTOR_IDENTITY — только flang/src/types.mjs:3288
cat-bifunctor.test.mjs	пара единиц, которую бифунктор не отображает, законом не считается нарушенной	B	граница закона (молчание); предмета на стороне flang нет
cat-bifunctor.test.mjs	смешанный случай закон композиции не трогает — и это сказано вслух	B	названная граница (молчание); предмета на стороне flang нет
cat-bifunctor.test.mjs	несуществующий морфизм в паре назван по имени	B	FLANG_UNKNOWN_NAME из блока бифунктора — только flang/src/types.mjs
cat-bifunctor.test.mjs	имена категорий у бифунктора остаются пометкой, как и у функтора	B	граница честности (молчание); предмета на стороне flang нет
cat-bifunctor.test.mjs	английская поверхность даёт тот же разбор	B	предмет — разбор, он есть у эталона (flang/self/parser.flang:4030 «Разобрать бифунктор»), но программ с `бифунктор` в побайтовом корпусе self-parser.test.mjs:223 нет ни одной
flang/test/totality.test.mjs	длина списка через хвост признаётся тотальной	A1	flang/stdlib/lists.flang:89 «Длина» — тотальная, рекурсия по хвосту образца, примеры 93-101; дубль flang/test/self-totality.test.mjs:612
flang/test/totality.test.mjs	хвост через встроенную форму, а не через образец, тоже убывает	A2	flang/test/self-totality.test.mjs:616 «хвост через встроенную форму убывает»
flang/test/totality.test.mjs	элемент по номеру — часть списка: рекурсия вглубь по нему доказывается	B	такой формы в дереве нет и в зеркале нет; решающее правило держит пример flang/self/totality.flang:1100 «У элемента список стоит вторым»; сама программа законна и выражается .flang с примером
flang/test/totality.test.mjs	проход по номеру вниз доказывается мерой, вверх — нет	C	FLANG_NOT_TOTAL + текст «увеличивает параметр «н»»; половина «вниз» переносима примером, половина «вверх» — только корпусом отказов
flang/test/totality.test.mjs	«пусть» переносит происхождение значения на имя	A2	flang/test/self-totality.test.mjs:955 «`пусть` переносит происхождение на имя»
flang/test/totality.test.mjs	свёртка по конечной коллекции сама по себе не мешает тотальности	A1	flang/stdlib/lists.flang:144 «Обратить» — тотальная, тело свёртка, примеры 148-155
flang/test/totality.test.mjs	обход дерева: рекурсия по полям варианта убывает	A1	flang/stdlib/tree.flang:353 «Размер дерева» — тотальная, рекурсия по полям варианта «Узел», примеры 356-361
flang/test/totality.test.mjs	рекурсия внутри свёртки по полю записи убывает	A2	flang/test/self-totality.test.mjs:644 «рекурсия по полю записи внутри свёртки проходит»
flang/test/totality.test.mjs	взаимная рекурсия с убыванием на общей позиции принимается	A2	flang/test/self-totality.test.mjs:655 «взаимная рекурсия с общим убывающим аргументом проходит»
flang/test/totality.test.mjs	тотальная может звать тотальную без рекурсии	A1	flang/stdlib/lists.flang:144 «Обратить» зовёт «Приписать в начало» (flang/stdlib/lists.flang:109), обе тотальные, у обеих примеры
flang/test/totality.test.mjs	обычные функции не анализируются: бесконечная рекурсия в них не ошибка	A2	flang/test/self-totality.test.mjs:936 «обычные функции не анализируются»
flang/test/totality.test.mjs	отображение и фильтр над параметром не считаются источником незавершаемости	A2	flang/test/self-totality.test.mjs:939
flang/test/totality.test.mjs	счёт «н минус 1» с базой «не больше нуля» доказан тотальным	A1	flang/stdlib/numbers.flang:198 «Степень» (примеры 201-207) и flang/stdlib/lists.flang:252 «Числа до» — та же мера с тем же дном
flang/test/totality.test.mjs	та же мера с рекурсией в ветви «то» и условием «больше нуля»	A2	flang/test/self-totality.test.mjs:680 «мера с рекурсией в ветви «то» доказывается»
flang/test/totality.test.mjs	литерал слева от имени читается как та же граница	A2	flang/test/self-totality.test.mjs:689 «литерал слева от имени даёт ту же границу»
flang/test/totality.test.mjs	дробный шаг при базе-неравенстве доказывается наравне с целым	A2	flang/test/self-totality.test.mjs:698
flang/test/totality.test.mjs	граница действует на всё, что выведено из того же параметра, включая «пусть» до «если»	A2	flang/test/self-totality.test.mjs:707 «граница переносится на «пусть», записанный до «если»»
flang/test/totality.test.mjs	шаг параметром доказывается, когда про шаг известно, что он больше нуля	A2	вердикт — flang/test/self-totality.test.mjs:738; сам сторож (guards) сверяется побайтово там же, строка 468
flang/test/totality.test.mjs	порядок проверок неважен: сперва дно меры, потом знак шага — и наоборот	B	перестановки двух «если» в зеркале нет (там только один порядок, строка 738); программа законна, выражается .flang с примером
flang/test/totality.test.mjs	шаг параметром работает и через «пусть», записанный до проверок	B	в зеркале «пусть» проверен только с литеральным шагом (self-totality.test.mjs:707); программа законна
flang/test/totality.test.mjs	взаимная рекурсия по общему шагу-параметру доказывается	A2	flang/test/self-totality.test.mjs:745
flang/test/totality.test.mjs	взаимная рекурсия по общей мере доказывается	A2	flang/test/self-totality.test.mjs:714
flang/test/totality.test.mjs	нулевой шаг («н минус 0») отвергается: цикл вечен	A2	flang/test/self-totality.test.mjs:724 (вердикт) и 1296 (текст «шаг нулевой» дословно)
flang/test/totality.test.mjs	растущий аргумент («н плюс 1») отвергается	A2	flang/test/self-totality.test.mjs:728 и 1296 (текст «увеличивает параметр «н»» дословно)
flang/test/totality.test.mjs	шаг параметром без проверки на ноль отвергается: при шаге ≤ 0 цикл вечен	A2	flang/test/self-totality.test.mjs:732 «шаг параметром, а не литералом, отвергается»
flang/test/totality.test.mjs	нестрогая граница шага не годится: «ш не меньше 0» допускает ровно ноль	A2	flang/test/self-totality.test.mjs:761
flang/test/totality.test.mjs	тающий шаг отвергается: «ш делить на 2» не доводит до дна никогда	A2	flang/test/self-totality.test.mjs:768
flang/test/totality.test.mjs	шаг, приехавший не на свою позицию, шагом не считается	A2	flang/test/self-totality.test.mjs:775
flang/test/totality.test.mjs	шаг-параметр без дна у меры отвергается: положительного шага мало	C	FLANG_NOT_TOTAL, текст «снизу «н» ничем не ограничен»; в зеркале «мера без базы» стоит только с ЛИТЕРАЛЬНЫМ шагом (self-totality.test.mjs:807)
flang/test/totality.test.mjs	прибавка поверх шага-параметра снимает обещание убывания	A2	flang/test/self-totality.test.mjs:782
flang/test/totality.test.mjs	шаг, вычисленный из самой меры, отвергается: он тает вместе с ней	A2	flang/test/self-totality.test.mjs:789
flang/test/totality.test.mjs	мера без базы отвергается: без дна цепочка уходит в минус бесконечность	A2	flang/test/self-totality.test.mjs:807 и 1285 (текст дословно)
flang/test/totality.test.mjs	база «н равно 0» границы не даёт: ни при целом шаге, ни при дробном	A2	flang/test/self-totality.test.mjs:811; половина про «не равно» в зеркале отсутствует
flang/test/totality.test.mjs	граница действует только в своей ветви	A2	flang/test/self-totality.test.mjs:821 «граница из чужой ветви не действует»
flang/test/totality.test.mjs	граница по чужому параметру мерой не считается	A2	flang/test/self-totality.test.mjs:825
flang/test/totality.test.mjs	сравнение с параметром вместо литерала границы не даёт	A2	flang/test/self-totality.test.mjs:829
flang/test/totality.test.mjs	мера не на своей позиции не принимается	A2	flang/test/self-totality.test.mjs:833
flang/test/totality.test.mjs	деление пополам мерой не считается: до нуля оно не доходит	A2	flang/test/self-totality.test.mjs:837
flang/test/totality.test.mjs	двоичный поиск отвергается: половина отрезка — не постоянный шаг	A2	flang/test/self-totality.test.mjs:793
flang/test/totality.test.mjs	Евклид отвергается: у остатка нет постоянного шага	A2	flang/test/self-totality.test.mjs:841 «остаток (Евклид) мерой не считается»
flang/test/totality.test.mjs	отражение («1 минус н») сдвигом не считается	A2	flang/test/self-totality.test.mjs:845
flang/test/totality.test.mjs	затенение имени снимает границу вместе с происхождением	A2	flang/test/self-totality.test.mjs:797 «перекрытое имя параметра снимает меру»
flang/test/totality.test.mjs	ветвь без убывания слабее ветви с убыванием: берётся слабейшее	A2	flang/test/self-totality.test.mjs:849 «ветвь без убывания делает меру слабее»
flang/test/totality.test.mjs	часть на одном ребре и мера на другом общей позиции не образуют	A2	flang/test/self-totality.test.mjs:856 (та же пара функций)
flang/test/totality.test.mjs	вызов с тем же аргументом отвергается и сообщение называет параметр	A2	flang/test/self-totality.test.mjs:665 и 1240 (весь текст сообщения дословно)
flang/test/totality.test.mjs	вызов с увеличенным аргументом («добавить … к хвосту») отвергается	A2	flang/test/self-totality.test.mjs:880
flang/test/totality.test.mjs	вызов с приписанным элементом («приписать … к хвосту») отвергается	C	FLANG_NOT_TOTAL, «не выведен ни из одного параметра»; в зеркале есть только «добавить» (self-totality.test.mjs:880), «приписать» отдельного случая не имеет
flang/test/totality.test.mjs	накопитель, растущий приписыванием, не мешает убыванию по хвосту	B	в зеркале случая с накопителем нет; в дереве «Обратить» (stdlib/lists.flang:144) переписана свёрткой, рекурсии с накопителем не осталось; программа законна
flang/test/totality.test.mjs	рекурсия по списку, построенному приписыванием, доказывается структурой	B	исходник flang, программа принимается, вердикт — «доказано, guards и descents пусты»; в зеркале случая нет; выражается .flang с примерами
flang/test/totality.test.mjs	результат чужого вызова не считается меньшим: анализ консервативен	A2	flang/test/self-totality.test.mjs:884
flang/test/totality.test.mjs	взаимная рекурсия без убывания отвергается с указанием цикла	A2	flang/test/self-totality.test.mjs:891
flang/test/totality.test.mjs	убывание на разных позициях в цикле не доказывает завершение	A2	flang/test/self-totality.test.mjs:895 и 1268 (текст с перечнем рёбер дословно)
flang/test/totality.test.mjs	разные убывающие позиции у двух самовызовов отвергаются честно, а не молча	A2	flang/test/self-totality.test.mjs:905
flang/test/totality.test.mjs	тотальная функция не может вызывать обычную	A2	flang/test/self-totality.test.mjs:917 и 1252 (текст дословно)
flang/test/totality.test.mjs	постусловие — тоже код: вызов обычной функции из него отвергается	C	FLANG_NOT_TOTAL; ДЫРА: flang/self/totality.flang поле postconditions не читает ни разу (грепом ноль совпадений), правило есть только в flang/src/totality.mjs:446 — перенос обнажит расхождение
flang/test/totality.test.mjs	постусловие обходится в области видимости вычислителя, а не в выдуманной	C	FLANG_NOT_TOTAL; та же дыра: постусловий эталон на flang не анализирует вовсе
flang/test/totality.test.mjs	вызов неизвестной функции из тотальной не даёт доказательства	A2	flang/test/self-totality.test.mjs:921 и 1263 (текст дословно)
flang/test/totality.test.mjs	недоказанность распространяется по графу вызовов, но диагностика не дублируется	A2	flang/test/self-totality.test.mjs:924
flang/test/totality.test.mjs	рекурсия по накопителю свёртки не считается убыванием	A2	flang/test/self-totality.test.mjs:928
flang/test/totality.test.mjs	«любое» не разбирает значение, поэтому убывания не даёт	A2	flang/test/self-totality.test.mjs:932
flang/test/totality.test.mjs	убывание не на своей позиции не принимается	A2	flang/test/self-totality.test.mjs:913 и 1305 (текст дословно)
flang/test/totality.test.mjs	исходник flang из SPEC: «Длина» доказана тотальной	A1	flang/stdlib/lists.flang:89 — та же программа в дереве; дословное зеркало — flang/test/self-totality.test.mjs:1339
flang/test/totality.test.mjs	исходник flang: «добавить голова к хвост» отвергается на разобранном AST	A2	flang/test/self-totality.test.mjs:1356 — тот же исходник, тот же span {line 10, column 17}
flang/test/totality.test.mjs	span вызова доходит до диагностики	A2	flang/test/self-totality.test.mjs:1330 — та же программа, тот же span {line 12, column 9}, та же severity
flang/test/totality.test.mjs	сторож ставится только там, где доказательство держится на мере	A2	flang/test/self-totality.test.mjs:468 — отметка меры сверяется побайтово на всех случаях, включая программы без меры
flang/test/totality.test.mjs	отметка невидима для программ без числовой меры: тот же объект	D	assert.equal(markMeasureGuards(без), без) — тождество ССЫЛКИ на объект JavaScript; экономия аллокации в модуле на JS, у flang такого понятия нет
flang/test/totality.test.mjs	доказательство не ослабло: программа со сторожем считает то же самое	B	«До нуля» на входах 0, 7, −3, 2.5 даёт 0 — чистое «программа на входе даёт значение»; выражается .flang с четырьмя примерами
flang/test/totality.test.mjs	на входах, где шаг ничего не меняет, вместо зацикливания — отказ	C	FLANG_MEASURE, текст называет «До нуля» и «н»; отказ ВЫЧИСЛЕНИЯ, а не проверки — нужен корпус поверх `flang run`, а не поверх `flang check`
flang/test/totality.test.mjs	медленный спуск — не то же самое, что бесконечный: сторож его пропускает	C	FLANG_RECURSION_LIMIT; тоже отказ вычисления, нужен `flang run --max-steps 10000` (довод есть в flang/self/cli.flang:231)
flang/test/totality.test.mjs	цена сторожа: витку прибавляется постоянное число шагов, а не множитель	D	меряет ЧИСЛО ШАГОВ вычислителя на Node (двоичный поиск по maxSteps в createRuntime); «ровно 10 шагов на виток» — свойство flang/src/interpret.mjs, у C-рантайма счётчик другой (fl_tick тикает только на витках петли)
flang/test/totality.test.mjs	«н минус 1» на большом числе действительно ничего не меняет — считает сам язык	B	«Убавить» на входах 18014398509481988 и 1e308 даёт их же — чистое «программа на входе даёт значение», выражается .flang с двумя примерами
flang/test/types.test.mjs	каноническая «Длина» типизируется, сигнатура попадает в таблицу	A2	flang/test/self-types.test.mjs:212 «сигнатуры совпадают с таблицей свидетеля: арность, имена, признак тотальности»
flang/test/types.test.mjs	тип пустого списка выводится из контекста	A2	flang/test/self-types.test.mjs:1623 «пустой список берёт тип из контекста, а без контекста ни с чем не спорит»
flang/test/types.test.mjs	запись, разбор суммы и встроенные формы над строками проходят проверку	A1	flang/stdlib/tree.flang:353 (разбор суммы) и flang/stdlib/tree.flang:272 (запись), flang/stdlib/strings.flang:312 (соединить); файлы обязаны проходить `flang check`
flang/test/types.test.mjs	свёртка, отображение и фильтр согласованы по типам элемента и накопителя	A1	flang/stdlib/lists.flang:144 (свёртка), flang/stdlib/higher-order.flang (отобразить/отфильтровать) — те же формы в дереве
flang/test/types.test.mjs	арифметика над строкой отвергается	A2	flang/test/self-types.test.mjs:647 «арифметика по строке»
flang/test/types.test.mjs	конкатенация числа отвергается	C	FLANG_TYPE; бинарный `соединить X с Y` (op concat) в корпусе self-types отсутствует — там только форма `соединить … по …` (строка 841)
flang/test/types.test.mjs	сравнение числа со строкой отвергается	A2	flang/test/self-types.test.mjs:642 «сравнение разных типов»
flang/test/types.test.mjs	«больше» над списками отвергается: порядка на структурах нет	C	FLANG_TYPE ×2; в корпусе self-types порядок проверен только над СТРОКАМИ (строка 632), над списками — нет
flang/test/types.test.mjs	«больше» над строками отвергается: порядок в языке только для чисел	A2	flang/test/self-types.test.mjs:632 «сравнение порядка по строкам»
flang/test/types.test.mjs	«больше» над признаками и «ничто» отвергается тоже	C	FLANG_TYPE ×2; ни признака, ни «ничто» под сравнением порядка в корпусе self-types нет
flang/test/types.test.mjs	«символ» принимает номер и строку — в порядке поверхности «символ N в текст»	C	FLANG_BUILTIN_ARGS ×2 на перевёрнутом порядке; в корпусе self-types формы «символ» нет вовсе
flang/test/types.test.mjs	«элемент» принимает номер и список — в порядке поверхности «элемент N в списке»	C	FLANG_BUILTIN_ARGS (перевёрнутый порядок, строка вместо списка); в корпусе self-types формы «элемент» нет вовсе
flang/test/types.test.mjs	псевдоним разворачивается в свой тип, а не становится пустой записью	B	в дереве нет НИ ОДНОГО объявления `тип «Х» это …` (грепом ноль), в корпусе self-types псевдоним есть только сломанный; программа законна и выражается .flang с примером
flang/test/types.test.mjs	псевдоним псевдонима разворачивается до конца, объявленный в любом порядке	B	то же: псевдонимов в дереве нет, зеркала нет; программа законна
flang/test/types.test.mjs	псевдоним через самого себя — диагностика, а не бесконечное развёртывание	A2	flang/test/self-types.test.mjs:751 «псевдоним через самого себя»
flang/test/types.test.mjs	псевдоним на запись остаётся той же записью: поля видны	B	то же: псевдонимов в дереве нет, зеркала нет; программа законна
flang/test/types.test.mjs	условие «если» должно быть признаком, а ветви — одного типа	A2	flang/test/self-types.test.mjs:618 «ветви «если» разных типов» и 625 «условие «если» не признак»
flang/test/types.test.mjs	список обязан быть однородным	A2	flang/test/self-types.test.mjs:652 «список неоднороден»
flang/test/types.test.mjs	тело функции обязано совпасть с объявленным типом возврата	A2	flang/test/self-types.test.mjs:461 «тело не того типа» (код, текст и место сверяются)
flang/test/types.test.mjs	несвязанное имя — FLANG_UNKNOWN_NAME, и span доходит до диагностики	A2	flang/test/self-types.test.mjs:465 «неизвестное имя» — сверяются код, весь текст и место
flang/test/types.test.mjs	неизвестное поле записи отвергается	A2	flang/test/self-types.test.mjs:685 «запись не имеет поля»
flang/test/types.test.mjs	запись требует все поля и не терпит лишних	A2	flang/test/self-types.test.mjs:656 «запись без поля» и 663 «запись с лишним полем»
flang/test/types.test.mjs	неизвестный конструктор варианта — FLANG_UNKNOWN_NAME	A2	flang/test/self-types.test.mjs:698
flang/test/types.test.mjs	конструктор варианта с полем неверного типа отвергается	A2	flang/test/self-types.test.mjs:703 «поле варианта не того типа»
flang/test/types.test.mjs	неверная арность вызова отвергается	A2	flang/test/self-types.test.mjs:473 «неверная арность» и 1610 «арность вызова называет имена параметров»
flang/test/types.test.mjs	неверный тип аргумента отвергается	A2	flang/test/self-types.test.mjs:481 «аргумент не того типа»
flang/test/types.test.mjs	неизвестная функция — FLANG_UNKNOWN_NAME	A2	flang/test/self-types.test.mjs:469 «неизвестная функция»
flang/test/types.test.mjs	разбор суммы обязан покрыть все варианты	A2	flang/test/self-types.test.mjs:489 «разбор суммы неполон» и 1551 «исчерпывающность разбора называет непокрытые варианты поимённо»
flang/test/types.test.mjs	разбор списка обязан покрыть «пусто»	A2	flang/test/self-types.test.mjs:499 «разбор списка неполон»
flang/test/types.test.mjs	случай после «любое» недостижим	A2	flang/test/self-types.test.mjs:520 и 1568 «недостижимый случай называет сам образец»
flang/test/types.test.mjs	повторный вариант недостижим	A2	flang/test/self-types.test.mjs:529 «повтор случая недостижим»
flang/test/types.test.mjs	вариант чужой суммы в образце отвергается	A2	flang/test/self-types.test.mjs:574 «вариант из чужой суммы»
flang/test/types.test.mjs	случаи разбора обязаны быть одного типа	A2	flang/test/self-types.test.mjs:565 «случаи разбора разных типов»
flang/test/types.test.mjs	тип накопителя свёртки проверяется по начальному значению	A2	flang/test/self-types.test.mjs:836 «тело свёртки не того типа»
flang/test/types.test.mjs	тело фильтра обязано давать признак	A2	flang/test/self-types.test.mjs:831 «тело отфильтровать не признак»
flang/test/types.test.mjs	отображение по не-списку отвергается	A2	flang/test/self-types.test.mjs:826 «отобразить не по списку»
flang/test/types.test.mjs	арность встроенной формы проверяется	A2	flang/test/self-types.test.mjs:910 «форма получила не столько аргументов» (корпус сломанного AST)
flang/test/types.test.mjs	«приписать» проверяет тип элемента и называет своё слово	C	FLANG_BUILTIN_ARGS; в корпусе self-types есть только «добавить» (строки 816, 821) — что диагностика обязана назвать НАПИСАННОЕ слово, не проверяет никто больше
flang/test/types.test.mjs	«добавить» проверяет тип элемента относительно списка	A2	flang/test/self-types.test.mjs:821 «добавить элемент не того типа»
flang/test/types.test.mjs	пример с ожидаемым значением не того типа отвергается	A2	flang/test/self-types.test.mjs:782 «ожидаемое значение примера не того типа»
flang/test/types.test.mjs	пример с аргументом не того типа отвергается	A2	flang/test/self-types.test.mjs:774 «аргумент примера не того типа»
flang/test/types.test.mjs	пример со значением-вариантом проверяется по объявленным полям	A2	flang/test/self-types.test.mjs:974 «значение примера не вариант суммы» и 993 «значение примера: нет поля и лишнее поле»
flang/test/types.test.mjs	пример без обязательного аргумента отвергается	A2	flang/test/self-types.test.mjs:758 «пример не задаёт аргумент»
flang/test/types.test.mjs	неизвестный тип в сигнатуре — FLANG_UNKNOWN_NAME	A2	flang/test/self-types.test.mjs:709 «неизвестный тип в объявлении»
flang/test/types.test.mjs	необязательное поле и тип-маркер из FTS не ломают проверку	A2	половину (optional на типе поля) держит flang/test/self-types.test.mjs:1637; вторая половина — узел {kind:"unknown", name} — приходит только из моста FTS на JavaScript (flang/src/fts-legacy.mjs:61)
flang/test/types.test.mjs	необязательное поле неизвестного типа не становится обязательным	A2	дорогу парсера ({kind:"named", state:true}) держит flang/test/self-types.test.mjs:1722; дорога моста умирает вместе с flang/src/compat.mjs
flang/test/types.test.mjs	конструктор записи не требует необязательное поле неизвестного типа	D	весь предмет — узел {kind:"unknown"} с пометкой optional; ни один парсер (ни src/parser.mjs, ни self/parser.flang) такого узла не даёт — он приходит только из моста FTS на JavaScript
flang/test/types.test.mjs	исходник flang: «иногда является» не требуется, но и не принимает ложь	A2	flang/test/self-types.test.mjs:856 «необязательное поле не требуется, ошибка в теле» и 870 «необязательное поле не того типа» — те же четыре половины на исходнике flang
flang/test/types.test.mjs	исходник flang: «иногда является» не открывает запись для лишних полей	C	FLANG_TYPE «запись «Анкета» не имеет поля «привет»»; предмет — ВХОДНАЯ ДВЕРЬ checkArguments (`flang run --args`), её эталон на flang не воспроизводит и self-types не сверяет; двойник есть в напечатанном C (fl_check_entry, flang/test/emit-entry-types.test.mjs)
flang/test/types.test.mjs	необязательный аргумент можно не задавать в примере, обязательный — нельзя	A2	flang/test/self-types.test.mjs:1637 «необязательное поле можно не задавать ни в записи, ни в примере»
flang/test/types.test.mjs	исходник flang: парсер → проверка типов, чистая программа	A1	flang/stdlib/tree.flang и весь корпус: объект + тип-сумма + тотальная + свёртка + разбор в одном файле, обязан проходить `flang check`; дубль — flang/test/self-types.test.mjs:204
flang/test/types.test.mjs	исходник flang: неисчерпывающий разбор ловится на разобранном AST	A2	flang/test/self-types.test.mjs:489 (место сверяется вместе с кодом и текстом) и 1551
flang/test/types.test.mjs	одноимённые варианты в разных суммах отвергаются: конструктор стал бы неоднозначным	A2	flang/test/self-types.test.mjs:731 «вариант объявлен в двух суммах»
